Npts=20, Emin=0(0.000735), Emax=1197(0.4406325), step=63

k                                                                                                                                                                                                                                   E (rydbergs)
0.5818155178004112044583657743291128453793453787544901482620422779195266523848927719284952983307747881-0.2817231234119921256586764991525450879879318330446569917179645437756100735325445979997009711838292137j                      0.2591413784883520613560526097746096576346338629577480675081028073165590568697344223485329201364650209-0.3278217698485946942479945516726452445628487132835051327408950727179539146537328439048393849903478905j
0.5922152542144763405265051307657346029018464214779192827029409863303831183272785236439771573398263554-0.2060977149069026913787770904267611394518456170515251250794076240028472627367011985466456186830569004j                      0.3082426392344698971600901356079839349931788886263497478537617507163335249018600646338811736571579695-0.2441084212532280948245470382742257438666658749004081710149434990784042291037933711390088804156374598j
0.6252278531275564968998610301989629431006481254817690451075966521057238070143209011789251921588499796+0.3090060126659700056749634564568858691500385313204072563152705690735391737338814568042286900454768393j                      0.2954251524627717428280814954110290209619591770930533391462906672001782402296812265890537234971458709+0.3863983318053019146144408779885395068800049354026429216475253836226681602374063887404285410179804054j
0.6852709532712159198082451578879119626365066385891656754031581738002748949102109292354176017795212254+0.3231296964155573339807827123918459802584397079228052517280277088466006502030288608892408561948858798j                      0.3651834786916307465728440751447212284835180023145197476515279590581786039107135722051476571832097021+0.4428627901858551522277093074742766271557251911515088236892265761038454176793840039011579200564130499j
0.6984839942463051794705682213363172631225999215019593022123959520112024991914658439273492681425441565+0.2598166313556356833689417241829400034802028652967289176582888132468822437851841349474288819460994457j                      0.4203752082892821957005657579005830475625638126592043752550820678727567030909896651349242360302890696+0.3629555168818084570878922016042719098539534573049509755397320747193665767425270271304072717688330765j
0.719387513970492663313093155672348563229533190694356401641172837075728241923762966576538796960899333-0.2018701291574640092617456505154253029989538800992424081008922618317957125876567441989456233791874983j                       0.4767668462105945760831143680551873766527436417780898149170669851023525727542521199801300270192423966-0.290445700718980596598403036023684334031523374042961265149003578775239551417924220402899919313806683j
0.719433815917431918749522387500589376772669152461229488109973165854787274848951774570023864138811636-0.00000268156259117058968589987751867396171221934424237001458674778382762070905185878456394726158868746154j                   0.5175850154783265385287936397540767035270097794893150926535917914401095956678854843546750752597650542-0.000003858413615174587533582351495169862911144548382397639529545463526648541270577041341250017539866789505j
0.7786440890951144291461339398958714044863551799713130052047356604394046091005289974609837938108573113+0.2071150421320123454223778751431329811450834973538153583297586834591404721963593431503424033817316221j                      0.5633899768054152481247639115919993232088186549762544378921860627783436100873639106492004116569055589+0.3225378066375539988762491495576622516885946557391072892240689442364527733117117796514138374564651908j
0.8541727154466129886152360128293477387989441240586887953741608103453957414065139512633761304720007993-0.2713270953501392666949531079292607728733503580466212055395357904750491136855896409482380589891927597j                      0.6559926351422969180008023705352554311515058628497741281089374438304821177477332855500869669165223476-0.4635204036189410760151079548563490668998651017576166057285224716058799814973222922675353893531334172j
0.8662124437199437533566836814371732918385993856303570050323170885320303162816891438565897543927706548+0.02355052502293377073187527885638317333065486712275535401775822025730951791112103079373987775984079051j                     0.7497693704264208946712273002060039760686198918409355833612302347907167403346429978106700869942740553+0.04079951566200629190278204241120009403056730078151539080045710438482132618135493447048775520593154339j
0.8831464152162395047435461622656763413316839439594106406354007221324060403027955438967955065968460301-0.1854491040042508722276174592851733024084727320586558247939799330844211984628224467612846272109389226j                      0.7455562205333150549463577449225355317531863394882718476436169849394174585151269327865071083546301871-0.3275574228128354499469140304782912927168105821295005406889428794463172568705932399455138854761196343j
0.8887871913755096217797811066031788713921913760143573162247797711214516018039601255687764392856870729-0.1121664591155571491073805799448741265975161538910961580888001769878931171896306044028815798103730417j                      0.7773613570026448115428823811692247784388859680723358594146165521872591784153309581325471588180278008-0.1993842243277039351879541777903959069191698664708454736670521192673407953468678230719278461749138246j
