Npts=30, Emin=0(0.000735), Emax=1189(0.4376925), step=41

k                                                                                                                                                                                                                                  E (rydbergs)
0.09789814064713953614939408035701955851570802468557751508659294470173443407371665232033201875741416089-0.0000000000002332982264477116510647169410180108252515950240499912462148333993119272711787769806733278764747402981j        0.009584045942167114237766410007515965505969140622194581427007645551953542609017839410941115981327100169-0.00000000000004567892517101256788682645654609474699737035429283418548938717894025616213493415872149497474338337272j
0.099728597001855453529949172756333952451654289535976694704207172398767127666309951154615894181488073+0.3841188164242082849421550242101630000549220961751417038283891998086704030556053214236674436938461449j                      -0.1376014720711761319240106021212814658195496868255120444487446638788794649358361627626098385056553797+0.0766152612879991274138230845201052990014642357830418788259542719045580723972419289285798836403819594j
0.1067335782728729017408365463387721071827005315744994906484153830674325253026280689864252418962293491+0.5410769200084752344297621286897212744759132022379494028105986115986696209274450915895494815599923891j                     -0.2813721766349264211245956803345313401646455583606281710798732703813522665522085622096299009862821599+0.1155021515867391626455688804243070559674315457867701531428647072833389153349176375581293311199779144j
0.1475411432260659121412033981573006364844877057441798571183804624049935758844585736217686144211329432-0.376678026005621220605434882871294935591983944313975510910459983255167243008416054752602610860524754j                      -0.1201179463310369613703558210726373891294156544776903307724911704972463348320607386133205942632956847-0.1111510131700142816913794205536011646621296278930308071107529115751253355957411617902642503439576552j
0.1667065317744702207927471931886546013573064465896072891879217911253465664115071577917366956340356316-0.2852848857704826496798576014498674753102545196895207399291163925099155094197096354935356937611805488j                     -0.0535963983128048844683404067819952636424425523691698360062132116124472249603481652612272732919987204-0.09511770774894614639063336193825258513891287024226649189161927773877063743894705306709934673317612211j
0.2154891289968471252848280387358914512827512924096993996578757162231426406645606917842072678876393714+0.4468638798454114751172941913478956194334452455489544289983295634434892534737829138663862755308967123j                     -0.1532517623946745234111998043368564951939453428055293497569176964378604663448324395697421643778444063+0.1925886164960789351834853178079730538334163261909010272527492557122847930395053169109045657052146339j
0.2542985744598217241204345105956157337618958521795052132514649719260460329584151635891914536032929059-0.3337431061674721238530270083690689464560573895951333292687782307302367616329894024783320357316848714j                     -0.0467166959420150759067669362350108188081765365215145700290410032697228681428923568887800540844592366-0.1697407922683621935436248123594416572821945938569525632274764259939609907663191087278053002896938053j
0.2700391486845760412428721878807432559601821666870830729090838814048324016594719301762872331666194121+0.5222393097452589166937848913111443603750617613408443299047627945471186701782118466927358723865268599j                     -0.1998127548209139186103919357573517664275497503415419042820023625656482061687280174612071949499062181+0.2820501172264606683004242408205485844283858416244405449461286588672373869614522035488851502555053396j
0.2755735972635602694942118335608418710475724098363016582477871412562441703053773454532630746026069723+0.3904326637175816883396283788199443259430669933555565207359615243677334333408786642532575979437381603j                     -0.07649685738882731646079512522192428188498676243459857597787839686118312929536017311961318872401718086+0.215185867259695832131666324841733836561416875385110184367780339058050784565673150196114464487855146j
0.276844114933729873708460898034913204171950729782441680460808220256643433179688740062134428455726563-0.001179337350482789909371072697085519387582529511420429216327610784018843003095986536723604162584658132j                    0.07664127313685399230930809836767904544199305760957208323298444634921964454811465880861543678296411326-0.0006529852100053959200678824544522334697038386224904488234374763774240295917801006033916144164513927671j
0.3429197675408505639888805441207320637746124099100899495427265742397563532517540516095091871515023437-0.03098398345218589444247012194030166588010174486737344224742194555640108384861310317035252010900782768j                    0.1166339597397056587253276855233702872183017794694565344804988682896611344488417359967477979040297462-0.02125004080582629497527066425064743457388884508285525878028928113833347160307494167577931383909386749j
0.342919767541280922691462974490722759099707111323034029635760711285709201729303563868778234727578089+0.0309839834520747536155529209728625763319429731711672627606799345772222976714627577715766967504682493j                      0.1166339597400077029089094861380827877784738376515338692011448448716992522975712833572772972530549739+0.02125004080577673865604771609095141611116611511886469223053045717659119863527195329918933051315526824j
0.3488503666449948213784391997923546074942439611340631621069886546038518394624521556049734703978941937-0.3182832757334873101190161086023612467880386083632396761159895656639764245291789993478606254636378633j                     0.02039233469670820341871879056456461522787614645879655815067667930207502986327862012428261734666758695-0.2220664748731940623416788650353720964084295152333867033791619909698300914632357315491583791190832175j
0.3602042542979358773357651107418840453586924299982327365078950080785295451348339786744895166954332741-0.2479205822498709341112994176222067627857546632827069926094443474079126667140981066992134613003035209j                     0.06828248971121703807794585297187708441778707414957675770340145107211961063852766047414282763304292687-0.1786040969088496752001055426816418691735180669634637158709030920486367785375621105777748746269510519j
0.3694988269704486559709656707634542035234809828183952201506958688308812805986023023743600508668413735-0.0000000000000006591762569806857682049359064161067269190544715915857242029801881538747088569841795614132350905607904j      0.1365293831325375550908700047422168749055237498145303449886329253478958430173646319731766783721800261-0.0000000000000004871297074422688173230206521374274721387180637034097426315467564990962978038818216957139833181870316j
0.3762562092016451671720747061748365330154268992385436868149859272290830257729494436000033151405887404+0.000000000000004107133020729835345652230021630137292327192188761244834183606990740744489315875590575591071574990793j       0.1415687349627921733673329326472511833200177374534733016255137631710811073621209011830127661544805908+0.000000000000003090668602133419569824657036508290649807348990166259280320504333072090717721376373886484386605466602j
