Npts=16, Emin=0(0.000735), Emax=1185(0.4362225), step=79

k                                                                                                                                                                                                                                   E (rydbergs)
0.5454885004149844913302052161568283333529068959755505512845369355808455006110289646274110374446830653-0.2894946886684644835836080978378689639180990066590331349139814773885660893708856440331454907661281954j                      0.2137505293177373568950851619433227121292484952013802343436967342236151333154374469783985641076148016-0.3158320471997269891463517271939557669548238302511952898875027308584470847882742903886144710376776772j
0.5862251504234029505613336334911557015073709114307752045222554500312207792119449217055559015211347261-0.2827249916879091818851902487250834140730886005415439609303686614018049948376318352077189606448955684j                      0.2637265060640131005979562508007129833238660478997487484834048245722095250097152383925527609951853891-0.3314810015613998180302244202852126013335096154270171068110987894533143465144820235421366690786489594j
0.5960070492455157535595998473317909348800509487304696300474459219634306738984083519404727790834602923-0.206703374170101200582266370895596912128633091022316362720538518548502017113248683603343729222348134j                       0.3124981178570417803918698212028416589525257339506553537455765145187052842290214842370284591232901138-0.246393336216427550526155968850276117534840204152029909635187277307810020735197037774741757372656717j
0.6080288743602638479497615086971399959579894513369013614058659373906377096888460389373315375770948781+0.2637033516912021749530755908672272841745455260490956279352637486701608894576740691630167424748363208j                      0.3001596543626356587684023887470475776121688853895084981240442831456111067907659483512878523924605558+0.3206785041876608766811825982119512549895563213972700824328154818551480742916332165596197151221963114j
0.6622840011618057663225464539171682246804349364963558792778859024229677969454322079391382395660405119+0.3117950790349968109544766709163391428301368771430507363181478395758679530850147232591094527986547642j                      0.3414039268844508337622923352314577878871505860938931822057394205693884359597561900130295674217160162+0.4129937849717182973600560707424822719910072194410153541907952695389194056519144409671488441019000936j
0.6694366344703503243937092459634714532318352877806321668631945744792577807063585353326545579883003189+0.243721231693573458981649168352780660174940765021318108347248758669786045649326291490364060140336613j                       0.3887453687927569162421798179962950811898343644104160774698837523366977193675711308816780411032534189+0.3263118421878285924022378690723390664956694856034794845342027044494406473474429809103766875597109441j
0.736135830932654584060496664822709395249530559534823222085903279343530920704653405785393528663389705-0.2266193695149308631136830011784077691532552586992512734539558026085153675016095155499271637802083235j                       0.4905396229435650377311513105388954156087096212467962075707007309431329206714745080395192715311438606-0.333645275766615844251614524790579290500953022093625255214869075921967200937774624708307529432588899j
0.8502134909988439785150844229426152977867768311702942809583394518797634143843353348074994508300722441+0.1570689046118140777367757483551501074460704608909084652863168915397147714410441875137101807878704913j                      0.6981923394804862012171903828724485377396618147197498568308375090461636580121258562871003461036040026+0.2670842034347497436943721513072023972056036391483248805123738197902526401172924737010401641529193883j
0.8815989864032677520325769166915554373505909993544390803308359130900614564531087080368210013526918242-0.3076834371780359674188738696366180417813181271728819628318214137969270455506144054128633687707755961j                      0.6825476753135786729576483098206279622437851262331961077330675765062337218987382712968333384103080824-0.5425068126984600367929028135800269412047777081834131289788732406491657689621802687239773536733289104j
0.9011892828738521372278233136194712547390228464717280837534122063875167110219242392707665901548237032-0.05951218939565510142430174725174136391138245182380891944647278262664992404522914938292588817655453928j                     0.8086004228800235615025352937507925627741096568451986797229783197755803817246546429838598735288115252-0.1072634945674465773334077640811756044215916188401711218282866627531491773526504053113176819339305278j
1.002399910683989102467755143118561217310089415485207041093761751397025240144839878075452786407541172-0.1245558056524200199789010426311974543423307755780440459521300807860879472416214157036230941635909256j                       0.9892914322175459029783300717930051422336372831516329625735023005312551832940192861436849599112650439-0.2497094569223162660487910386476089944072829806453480642166071799072179641190746014325977281069271946j
1.065200638820683553532992885142746873712722456747289851715238525816740600572725275617212842407914013+0.1735044608834726695913587207066611688436393060005484876989088746826755324877937612734011328102863941j                       1.104548602997527836607485656726687955597663949062951143081847060711768905954244212648254947361805289+0.3696341251426267776319060424672991745192495840187123971459385920448833218522906178715653670529648712j
1.289821543722711795083898973180675256281574322624861823787678456106029608269047436978176982050735203-0.2341855524122948846028340762532955503237121718950280582201096508860319435655061531406079592385668852j                       1.608796741692587620436172045148179445710192817916074687035198348143279966127604054947696997539813599-0.6041151414599644423920770678155563019612308217613457529335193882141930522225903725956641147576203792j
1.359123076760604901697569483883843608441869070122553907450016321085875035896336847774875895036391022+0.1861250211612113189207189756721808150729203531795006665204413699509827856712361920093464239132058685j                       1.812573014280951762545174211093929190922035750030250095047620468486647479352298236067357083660263428+0.5059336228455164461626514991284241801355469553185440145677734499333113272189937218423833624672802085j
25111081419935228225162641743792343389524277386981140912220533144336183694221700524536903.93724819761-25111081419935228225162641743792343389524277386981140912220533144336183694221700524481643.64397893369j                        2775291447147969915290876631461517990021772141754812001635199823355508545435694158763625506379.009852-1.261132820157232475553373149048272420580086421547244722936225643333281544491115248627670582587531567e+177j
complete
