Npts=34, Emin=0(0.000735), Emax=1188(0.437325), step=36

k                                                                                                                                                                                                                                 E (Ry)
-1.200896765842721524820138966383995182424526334364719625275824572300500796519982762435937731769060745e-53-6455770231375039942293781.439593759269486550514838286762709863280878471049387036654031883464480652749j                 -41676969280308136750932959106615154562881306431371.64909978868020417456722640125839429819400103136847+0.0000000000000000000000000001550542718376400700343844762185673331116347019914505298600444803863351181640997650511362123203843442j
-1.362537136051147937048348207121991606104329013975094031331164384021420238241995814817320684557629357e-78+0.5387902633799735692749843576009639827249732068466371416549098064988983623645288397542289008743212508j                -0.2902949479130612877898149960529902032410690632078457202061475592813533258401813701440925258386872979-1.468243484795985754618513242965133405649462500751026927973685413978233835228335425647403649212068001e-78j
-7.500822698988084083024085147484286140812844619179959093649979287721475117360448990884631493211784693e-80-1.6911928650925487038821012241180995040767867669037646654734456392274170943762164762477206166873472j                   -2.860133306939943640349380045462848455501187810073279153358420402275946331899431137642015882291352755+2.537067566170576388014238380717387358218232720377821334713068399470241627694134417179728412689917236e-79j
-1.78838951617608837639554596780356297528943366222934470092156482338368255400012954227830133473972881e-80-0.8678496531184468727159703001320375486305814484674385969707476523411856401399651623546795415290971291j                 -0.753163020417808563785009646711982551027737010396248375210172885711938926597358546117464822037702758+3.104106442508170659482585613866131540548163170854557053787388812767252733210419030576682610667678192e-80j
-1.497573368709302639875388610636075638546171881422760647351976738022172237043380604744953411335323454e-80+0.004056461684359929812007110675468613439911677040464602800989976861244793165931627863870076694099620407j              -0.00001645488139668019883880188465074305235938758117401614400951140505334743384257171535368463134653381127-1.214969797937422398816191834738403610064268818761109013699070109584271038276814092505089505122522351e-82j
-1.452846630606318882274096031772394096318806743398411907122380011118995450895275357562087492243698825e-80-0.2576567410811971086266032567325741030459300285502183179993325175775016595081153330909685972904797213j                -0.06638699622458304578130013250872311287638974341448760528207299701805730080965096051637914729620113784+7.486714562656438457932841246096461216125866077444508701252871312059705500830657681639772006138027026e-81j
-8.811334428127708096551299468687974578473442738276872996156317830847136593593841835123671459647370891e-81-0.4473834056064005069016074323438032807691278402721097583709874239941332776489930307110638663043138492j                -0.2001519116119810725104558408810821279875089770257693737999256540072589807914971538779835987279160524+7.884089608785398973554833090224197903124611092298071454033597189440883872978545896099278529587015698e-81j
-1.661276553743304597083029027221837042153044902732011127014028458631125166990217555622319030088031481e-81-0.007625475194422913844052561836544133497212432042764738229391421234439563966249501307228403886140434482j              -0.00005814787194075917569022284555292805993111965847359795513942559822691338860783016625193540300811748345+2.533604630329190780404155177709956215293925878871504176537006028771487071441165999822540451649357297e-83j
7.986850148731067461839379476243611008711000941380757411101260705779953197408052359118168167585935362e-83-0.3055061979543119387697847681464838970690979342461984938644945892798188025203734244952533092395860835j                 -0.09333403698849923224121888252846350108871113289016703568351205688745110752016154316167335386954723668-4.880064445139318492232560537810743826215007896162651964131124027288564529153638995856380609911335465e-83j
1.661276553743304632818967899410424412158355539831346648643579496807572202216713121398648006417186088e-81+0.007625475194422913843973768366707484524125033259447311653582118964056178082269546880288115489981234816j               -0.00005814787194075917568902117025348430627996908725460253243982207284497667470403716514933380288575950639+2.533604630329190834878678712761941721072877131026700978883991083880594710870828784911182987456871024e-83j
1.453372386675295649489305867170717758157935962950139988198624582715537015274550031299137646881667821e-80+0.2576663669223833374280619145599899879330315431330211449868255587717553337402592228881019107449137008j                 -0.06639195664298028207887202106028014194631808437419852904690943535531918958641504381379644605562301941+7.489703653198734490537322034054699508871861295734446255749750655651902232269573478075974222327431724e-81j
1.497573368709302639856614814225442276726321830093159294114095529390236119292110919689486187866959002e-80-0.004056461684359929812006776480552082366744708164731267007504630171039554348006170432432744291706213982j               -0.00001645488139668019883879917335299502003296620020561923801942291671152924029561418508205965936742410826-1.214969797937422398800860701295070975091688131608985973161903552529728959513012785854113230689183599e-82j
9.937225447283759111511217600256125845484768003958131244504968955033278615105611875745396299139670429e-80+0.4533659969163229154902386371852549090460148516825791844326916707451889571645429977375038854310576464j                 -0.2055407271599313193173594215028824760898461340671939689034110981988634009791478188026899417181463779+9.010400242980108675906406148819285062350858606637743090843504865467317104460806158998237261444950296e-80j
2.204850658083591620253859147377771556514619210704230905010148937419041789231212961657890804185249337e-78+0.5835779450496245128015040617293962945846993481611860209629291048229184107664467892468189785628784739j                 -0.3405632179483425674071184587771751118697940434009567352989767101938873523546466698925913822146815962+2.573404432371469351348882693738580402306912809443910265550250239148321753131087001907595518116325377e-78j
1.200896765842721524820138966383995182424526334364719625275824572300500796519982762435937731769060745e-53+6455770231375039942293781.439593759269486550514838286762709863280878471049387036654031883464480652749j                  -41676969280308136750932959106615154562881306431371.64909978868020417456722640125839429819400103136847+0.0000000000000000000000000001550542718376400700343844762185673331116347019914505298600444803863351181640997650511362123203843442j
0.00004890852694771166470039763479888771897982541119336345628997398982238628131931975105934032857815646695-3.016889934173323000210963570762161493007452097136793156385605056779581369109436721316401489884798274e-34j             0.000000002392044008195038085162759272998721914004187036568154050384246662186374411846023177384510230862614789-2.951032852875920763909777931372922901556112801506825518295906694535439695231453903122770340159162548e-38j
